序号,画面标识,结果,位置,置信度
0,Camera 0,Elephant 大象,"44,89,633,640",0.26
1,Camera 0,Elephant 大象,"10,103,634,640",0.38
2,Camera 0,Elephant 大象,"9,98,632,640",0.38
3,Camera 0,Elephant 大象,"35,90,631,640",0.37
4,Camera 0,Elephant 大象,"11,95,632,640",0.35
5,Camera 0,Elephant 大象,"12,96,632,640",0.42
6,Camera 0,Elephant 大象,"26,90,631,640",0.33
7,Camera 0,Elephant 大象,"9,99,633,640",0.44
8,Camera 0,Elephant 大象,"15,94,632,640",0.31
9,Camera 0,Elephant 大象,"22,91,632,640",0.32
10,Camera 0,Elephant 大象,"37,90,632,640",0.29
11,Camera 0,Elephant 大象,"35,90,631,640",0.34
12,Camera 0,Elephant 大象,"34,89,630,640",0.27
13,Camera 0,Elephant 大象,"28,90,631,640",0.28
14,Camera 0,Elephant 大象,"44,90,631,640",0.41
15,Camera 0,Elephant 大象,"35,90,630,639",0.30
16,Camera 0,Elephant 大象,"30,90,630,640",0.33
17,Camera 0,Elephant 大象,"36,89,631,640",0.27
18,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
19,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
20,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
21,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
22,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
23,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
24,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
25,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
26,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
27,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
28,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
29,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
30,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
31,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
32,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
33,D:/我的桌面/Video.mp4,Tiger 老虎,"108,12,508,635",0.82
34,D:/我的桌面/Video.mp4,Tiger 老虎,"98,3,517,639",0.83
35,D:/我的桌面/Video.mp4,Tiger 老虎,"54,0,574,639",0.88
36,D:/我的桌面/Video.mp4,Tiger 老虎,"0,0,639,640",0.90
37,D:/我的桌面/Video.mp4,Monkey 猴子,"0,2,637,640",0.31
38,D:/我的桌面/Video.mp4,Monkey 猴子,"1,1,639,640",0.70
39,D:/我的桌面/Video.mp4,Monkey 猴子,"241,182,564,640",0.33
40,D:/我的桌面/Video.mp4,Monkey 猴子,"258,185,533,640",0.68
41,D:/我的桌面/Video.mp4,Monkey 猴子,"3,1,288,635",0.65
42,D:/我的桌面/Video.mp4,Monkey 猴子,"272,195,522,640",0.73
43,D:/我的桌面/Video.mp4,Monkey 猴子,"15,0,278,637",0.68
44,D:/我的桌面/Video.mp4,Monkey 猴子,"272,195,522,640",0.73
45,D:/我的桌面/Video.mp4,Monkey 猴子,"14,0,278,637",0.68
46,D:/我的桌面/Video.mp4,Monkey 猴子,"272,195,521,640",0.73
47,D:/我的桌面/Video.mp4,Monkey 猴子,"14,0,278,637",0.68
48,D:/我的桌面/Video.mp4,Monkey 猴子,"272,195,521,640",0.73
49,D:/我的桌面/Video.mp4,Monkey 猴子,"14,0,278,637",0.68
50,D:/我的桌面/Video.mp4,Monkey 猴子,"272,195,522,640",0.73
51,D:/我的桌面/Video.mp4,Monkey 猴子,"14,0,278,637",0.68
52,D:/我的桌面/Video.mp4,Monkey 猴子,"272,195,521,640",0.73
53,D:/我的桌面/Video.mp4,Monkey 猴子,"14,0,278,637",0.68
54,D:/我的桌面/Video.mp4,Monkey 猴子,"272,195,521,640",0.73
55,D:/我的桌面/Video.mp4,Monkey 猴子,"14,0,278,637",0.68
56,D:/我的桌面/Video.mp4,Monkey 猴子,"272,195,522,640",0.73
57,D:/我的桌面/Video.mp4,Monkey 猴子,"14,0,278,637",0.68
58,D:/我的桌面/Video.mp4,Monkey 猴子,"272,195,521,640",0.73
59,D:/我的桌面/Video.mp4,Monkey 猴子,"14,0,278,637",0.68
60,D:/我的桌面/Video.mp4,Monkey 猴子,"272,195,521,640",0.73
61,D:/我的桌面/Video.mp4,Monkey 猴子,"14,0,278,637",0.68
62,D:/我的桌面/Video.mp4,Monkey 猴子,"272,195,522,640",0.73
63,D:/我的桌面/Video.mp4,Monkey 猴子,"14,0,278,637",0.68
64,D:/我的桌面/Video.mp4,Monkey 猴子,"2,0,272,633",0.71
65,D:/我的桌面/Video.mp4,Monkey 猴子,"259,194,511,640",0.70
66,D:/我的桌面/Video.mp4,Monkey 猴子,"0,1,229,636",0.70
67,D:/我的桌面/Video.mp4,Monkey 猴子,"212,192,465,640",0.68
68,D:/我的桌面/Video.mp4,buffalo 水牛,"209,244,460,502",0.91
69,D:/我的桌面/Video.mp4,buffalo 水牛,"451,318,519,500",0.68
70,D:/我的桌面/Video.mp4,buffalo 水牛,"197,244,449,501",0.91
71,D:/我的桌面/Video.mp4,buffalo 水牛,"441,318,507,504",0.75
72,D:/我的桌面/Video.mp4,buffalo 水牛,"197,244,449,501",0.91
73,D:/我的桌面/Video.mp4,buffalo 水牛,"441,318,507,504",0.75
74,D:/我的桌面/Video.mp4,buffalo 水牛,"197,244,449,501",0.91
75,D:/我的桌面/Video.mp4,buffalo 水牛,"441,318,507,504",0.75
76,D:/我的桌面/Video.mp4,buffalo 水牛,"197,244,449,501",0.91
77,D:/我的桌面/Video.mp4,buffalo 水牛,"441,318,507,504",0.75
78,D:/我的桌面/Video.mp4,buffalo 水牛,"196,246,449,504",0.90
79,D:/我的桌面/Video.mp4,buffalo 水牛,"441,318,507,505",0.67
80,D:/我的桌面/Video.mp4,buffalo 水牛,"195,244,449,502",0.84
81,D:/我的桌面/Video.mp4,buffalo 水牛,"406,315,506,504",0.52
82,D:/我的桌面/Video.mp4,Deer 鹿,"74,361,287,591",0.85
83,D:/我的桌面/Video.mp4,Deer 鹿,"376,243,463,489",0.58
84,D:/我的桌面/Video.mp4,Deer 鹿,"67,363,286,593",0.92
85,D:/我的桌面/Video.mp4,Deer 鹿,"376,220,462,487",0.83
86,D:/我的桌面/Video.mp4,Deer 鹿,"67,363,286,595",0.93
87,D:/我的桌面/Video.mp4,Deer 鹿,"379,220,461,467",0.89
88,D:/我的桌面/Video.mp4,Deer 鹿,"67,363,286,596",0.93
89,D:/我的桌面/Video.mp4,Deer 鹿,"379,220,461,459",0.91
90,D:/我的桌面/Video.mp4,Deer 鹿,"67,364,286,597",0.93
91,D:/我的桌面/Video.mp4,Deer 鹿,"379,219,461,455",0.92
92,D:/我的桌面/Video.mp4,Deer 鹿,"67,363,286,598",0.93
93,D:/我的桌面/Video.mp4,Deer 鹿,"379,219,461,452",0.92
94,D:/我的桌面/Video.mp4,Deer 鹿,"67,363,286,598",0.93
95,D:/我的桌面/Video.mp4,Deer 鹿,"379,219,461,454",0.91
96,D:/我的桌面/Video.mp4,Deer 鹿,"67,363,286,598",0.93
97,D:/我的桌面/Video.mp4,Deer 鹿,"379,219,461,455",0.91
98,D:/我的桌面/Video.mp4,Deer 鹿,"67,363,286,598",0.93
99,D:/我的桌面/Video.mp4,Deer 鹿,"379,219,461,455",0.91
100,D:/我的桌面/Video.mp4,Deer 鹿,"67,363,286,598",0.93
101,D:/我的桌面/Video.mp4,Deer 鹿,"379,219,461,455",0.91
102,D:/我的桌面/Video.mp4,Deer 鹿,"67,363,286,598",0.93
103,D:/我的桌面/Video.mp4,Deer 鹿,"379,219,461,455",0.91
104,D:/我的桌面/Video.mp4,Deer 鹿,"67,363,286,598",0.93
105,D:/我的桌面/Video.mp4,Deer 鹿,"379,219,461,455",0.91
106,D:/我的桌面/Video.mp4,Deer 鹿,"67,363,286,598",0.93
107,D:/我的桌面/Video.mp4,Deer 鹿,"379,219,461,455",0.91
108,D:/我的桌面/Video.mp4,Deer 鹿,"67,363,286,598",0.93
109,D:/我的桌面/Video.mp4,Deer 鹿,"379,219,461,455",0.91
110,D:/我的桌面/Video.mp4,Deer 鹿,"149,348,254,609",0.90
111,D:/我的桌面/Video.mp4,Deer 鹿,"308,549,549,639",0.51
112,D:/我的桌面/Video.mp4,Deer 鹿,"0,321,235,636",0.90
113,D:/我的桌面/Video.mp4,Monkey 猴子,"346,310,502,570",0.59
114,D:/我的桌面/Video.mp4,Deer 鹿,"0,2,246,631",0.53
115,D:/我的桌面/Video.mp4,Deer 鹿,"1,0,637,638",0.49
116,D:/我的桌面/Video.mp4,Monkey 猴子,"0,27,195,616",0.42
117,D:/我的桌面/Video.mp4,buffalo 水牛,"109,238,452,639",0.89
118,D:/我的桌面/Video.mp4,buffalo 水牛,"161,188,432,579",0.90
119,D:/我的桌面/Video.mp4,buffalo 水牛,"191,188,416,505",0.93
120,D:/我的桌面/Video.mp4,buffalo 水牛,"205,199,403,477",0.94
121,D:/我的桌面/Video.mp4,buffalo 水牛,"211,203,400,468",0.94
122,D:/我的桌面/Video.mp4,buffalo 水牛,"212,203,399,467",0.94
123,D:/我的桌面/Video.mp4,buffalo 水牛,"212,203,399,467",0.94
124,D:/我的桌面/Video.mp4,buffalo 水牛,"212,203,399,467",0.94
125,D:/我的桌面/Video.mp4,buffalo 水牛,"212,203,399,467",0.94
126,D:/我的桌面/Video.mp4,buffalo 水牛,"212,203,399,467",0.94
127,D:/我的桌面/Video.mp4,buffalo 水牛,"212,203,399,467",0.94
128,D:/我的桌面/Video.mp4,buffalo 水牛,"212,203,399,467",0.94
129,D:/我的桌面/Video.mp4,buffalo 水牛,"212,203,400,467",0.94
130,D:/我的桌面/Video.mp4,buffalo 水牛,"212,203,394,467",0.94
131,D:/我的桌面/Video.mp4,buffalo 水牛,"212,204,381,467",0.94
132,D:/我的桌面/Video.mp4,buffalo 水牛,"211,201,362,468",0.92
133,D:/我的桌面/Video.mp4,buffalo 水牛,"586,160,639,228",0.56
134,D:/我的桌面/Video.mp4,buffalo 水牛,"208,191,336,470",0.85
135,D:/我的桌面/Video.mp4,buffalo 水牛,"405,185,520,436",0.63
136,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.41
137,D:/我的桌面/Video.mp4,buffalo 水牛,"206,191,260,471",0.62
138,D:/我的桌面/Video.mp4,buffalo 水牛,"306,170,342,264",0.53
139,D:/我的桌面/Video.mp4,buffalo 水牛,"357,189,521,470",0.49
140,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
141,D:/我的桌面/Video.mp4,buffalo 水牛,"127,191,229,602",0.71
142,D:/我的桌面/Video.mp4,buffalo 水牛,"236,169,268,277",0.59
143,D:/我的桌面/Video.mp4,buffalo 水牛,"356,190,521,474",0.54
144,D:/我的桌面/Video.mp4,buffalo 水牛,"148,141,221,234",0.50
145,D:/我的桌面/Video.mp4,buffalo 水牛,"289,169,343,268",0.50
146,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
147,D:/我的桌面/Video.mp4,buffalo 水牛,"192,173,236,282",0.75
148,D:/我的桌面/Video.mp4,buffalo 水牛,"31,198,178,540",0.58
149,D:/我的桌面/Video.mp4,buffalo 水牛,"357,190,521,473",0.54
150,D:/我的桌面/Video.mp4,buffalo 水牛,"61,149,160,246",0.50
151,D:/我的桌面/Video.mp4,buffalo 水牛,"283,167,343,267",0.49
152,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
153,D:/我的桌面/Video.mp4,buffalo 水牛,"166,178,215,282",0.71
154,D:/我的桌面/Video.mp4,buffalo 水牛,"0,209,148,552",0.59
155,D:/我的桌面/Video.mp4,buffalo 水牛,"357,190,521,473",0.53
156,D:/我的桌面/Video.mp4,buffalo 水牛,"272,168,343,266",0.46
157,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
158,D:/我的桌面/Video.mp4,buffalo 水牛,"14,160,125,254",0.38
159,D:/我的桌面/Video.mp4,buffalo 水牛,"225,166,266,242",0.29
160,D:/我的桌面/Video.mp4,buffalo 水牛,"153,184,206,284",0.65
161,D:/我的桌面/Video.mp4,buffalo 水牛,"0,217,136,536",0.57
162,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.53
163,D:/我的桌面/Video.mp4,buffalo 水牛,"270,168,343,265",0.50
164,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
165,D:/我的桌面/Video.mp4,dog 狗,"91,525,277,640",0.34
166,D:/我的桌面/Video.mp4,buffalo 水牛,"13,171,113,259",0.27
167,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
168,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.59
169,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
170,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.48
171,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
172,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.30
173,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
174,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.59
175,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
176,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.48
177,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
178,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.30
179,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
180,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
181,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
182,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
183,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
184,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.30
185,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
186,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.59
187,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
188,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
189,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
190,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.30
191,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
192,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
193,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
194,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
195,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
196,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.30
197,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
198,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
199,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
200,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
201,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
202,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
203,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
204,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
205,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
206,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
207,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
208,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
209,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
210,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
211,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
212,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
213,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
214,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
215,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
216,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
217,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
218,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
219,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
220,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
221,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
222,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
223,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
224,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
225,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
226,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
227,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
228,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
229,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
230,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
231,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
232,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
233,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
234,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
235,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
236,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
237,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
238,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
239,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
240,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
241,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
242,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
243,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
244,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
245,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
246,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
247,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
248,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
249,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
250,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
251,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
252,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
253,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
254,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
255,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
256,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
257,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
258,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.59
259,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
260,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
261,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.39
262,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.30
263,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
264,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,516",0.58
265,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
266,D:/我的桌面/Video.mp4,buffalo 水牛,"269,169,343,266",0.49
267,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.41
268,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.28
269,D:/我的桌面/Video.mp4,buffalo 水牛,"152,187,204,285",0.64
270,D:/我的桌面/Video.mp4,buffalo 水牛,"0,224,136,525",0.59
271,D:/我的桌面/Video.mp4,buffalo 水牛,"360,184,526,474",0.53
272,D:/我的桌面/Video.mp4,dog 狗,"97,528,276,639",0.47
273,D:/我的桌面/Video.mp4,buffalo 水牛,"268,165,343,265",0.46
274,D:/我的桌面/Video.mp4,buffalo 水牛,"591,151,639,225",0.34
275,D:/我的桌面/Video.mp4,buffalo 水牛,"13,178,114,259",0.27
276,D:/我的桌面/Video.mp4,buffalo 水牛,"140,178,195,285",0.61
277,D:/我的桌面/Video.mp4,buffalo 水牛,"0,214,124,551",0.61
278,D:/我的桌面/Video.mp4,buffalo 水牛,"365,173,540,485",0.44
279,D:/我的桌面/Video.mp4,buffalo 水牛,"262,155,342,264",0.44
280,D:/我的桌面/Video.mp4,buffalo 水牛,"112,162,172,285",0.72
281,D:/我的桌面/Video.mp4,buffalo 水牛,"0,161,58,260",0.58
282,D:/我的桌面/Video.mp4,buffalo 水牛,"251,131,341,253",0.57
283,D:/我的桌面/Video.mp4,buffalo 水牛,"371,141,574,508",0.53
284,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,98,575",0.53
285,D:/我的桌面/Video.mp4,buffalo 水牛,"386,76,639,562",0.60
286,D:/我的桌面/Video.mp4,buffalo 水牛,"50,130,127,295",0.59
287,D:/我的桌面/Video.mp4,buffalo 水牛,"195,87,340,240",0.50
288,D:/我的桌面/Video.mp4,Monkey 猴子,"393,1,640,617",0.64
289,D:/我的桌面/Video.mp4,WildBoar 野猪,"34,0,335,236",0.47
290,D:/我的桌面/Video.mp4,dog 狗,"13,0,477,554",0.59
291,D:/我的桌面/Video.mp4,dog 狗,"48,10,424,486",0.87
292,D:/我的桌面/Video.mp4,dog 狗,"81,42,407,470",0.91
293,D:/我的桌面/Video.mp4,dog 狗,"81,63,400,459",0.92
294,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
295,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
296,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
297,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
298,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
